Period,Period_Type,Year,Quarter,Gross Margin,Net Profit Margin,ROA,ROE, Current Ratio ,Debt-to-Equity,Debt-to-Assets,Company,,,,,,,,,,
9/30/2022,Quarterly,2022,3, 0.314 , 0.039 , 0.007 , 0.022 , 0.783 , 2.01 , 0.67 ,NADEC,,,,,,,,,,
2022,Annual,2022,0, 0.174 , 0.010 , 0.010 , 0.031 , 0.812 , 2.17 , 0.68 ,Savola,,,,,,,,,,
2022,Annual,2022,0, 0.300 , 0.095 , 0.055 , 0.105 , 1.599 , 0.89 , 0.47 ,Almarai,,,,,,,,,,
2022,Annual,2022,0, 0.300 , 0.035 , 0.025 , 0.074 , 0.776 , 1.95 , 0.66 ,NADEC,,,,,,,,,,
3/31/2023,Quarterly,2023,1, 0.319 , 0.126 , 0.019 , 0.037 , 1.146 , 0.91 , 0.48 ,Almarai,,,,,,,,,,
3/31/2023,Quarterly,2023,1, 0.192 , 0.038 , 0.010 , 0.031 , 0.821 , 2.17 , 0.68 ,Savola,,,,,,,,,,
3/31/2023,Quarterly,2023,1, 0.371 , 0.050 , 0.010 , 0.028 , 0.793 , 1.94 , 0.66 ,NADEC,,,,,,,,,,
6/30/2023,Quarterly,2023,2, 0.205 , 0.047 , 0.010 , 0.031 , 0.785 , 2.22 , 0.69 ,Savola,,,,,,,,,,
6/30/2023,Quarterly,2023,2, 0.327 , 0.116 , 0.017 , 0.033 , 1.123 , 1.00 , 0.50 ,Almarai,,,,,,,,,,
6/30/2023,Quarterly,2023,2, 0.376 , 0.083 , 0.016 , 0.047 , 0.788 , 1.86 , 0.65 ,NADEC,,,,,,,,,,
9/30/2023,Quarterly,2023,3, 0.306 , 0.101 , 0.014 , 0.028 , 1.461 , 1.05 , 0.51 ,Almarai,,,,,,,,,,
9/30/2023,Quarterly,2023,3, 0.206 , 0.031 , 0.006 , 0.021 , 0.851 , 2.25 , 0.69 ,Savola,,,,,,,,,,
9/30/2023,Quarterly,2023,3, 0.376 , 0.087 , 0.019 , 0.051 , 0.800 , 1.71 , 0.63 ,NADEC,,,,,,,,,,
2023,Annual,2023,0, 0.203 , 0.045 , 0.040 , 0.126 , 0.843 , 2.14 , 0.68 ,Savola,,,,,,,,,,
2023,Annual,2023,0, 0.309 , 0.105 , 0.057 , 0.115 , 1.399 , 1.03 , 0.51 ,Almarai,,,,,,,,,,
2023,Annual,2023,0, 0.370 , 0.094 , 0.059 , 0.084 , 1.959 , 0.42 , 0.30 ,NADEC,,,,,,,,,,
